word,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
child's own name,0.0,0.02,0.02,0.04,0.06,0.08,0.09,0.15,0.21500000000000002,0.25,0.36,0.48,0.49,0.54,0.62,0.66,0.74,0.8,0.83,0.84,0.91,0.87,0.9
chin,,,,,,,,,0.04,0.06,0.12,0.23,0.25,0.3,0.38,0.47,0.52,0.56,0.61,0.67,0.8,0.72,0.71
chocolate,,,,,,,,,0.02,0.05,0.08,0.12,0.18,0.23,0.28,0.41,0.48,0.52,0.55,0.63,0.78,0.72,0.78
choo choo,0.03,0.04,0.02,0.02,0.06,0.08,0.08,0.16,0.24,0.315,0.38,0.52,0.58,0.6,0.65,0.7,0.76,0.84,0.81,0.85,0.92,0.85,0.89
church*,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.05,0.03,0.035,0.065,0.16,0.18,0.18,0.23,0.23,0.26,0.39,0.38,0.43,0.53,0.41,0.44
circus,,,,,,,,,0.0,0.01,0.02,0.02,0.02,0.02,0.04,0.07,0.08,0.14,0.16,0.19,0.33,0.21,0.28
clap,,,,,,,,,0.06,0.13,0.17,0.28,0.3,0.34,0.39,0.48,0.53,0.63,0.63,0.66,0.79,0.76,0.75
clean (action),0.0,0.01,0.0,0.02,0.01,0.0,0.02,0.04,0.025,0.06,0.11,0.19,0.23,0.29,0.36,0.43,0.52,0.59,0.63,0.65,0.83,0.73,0.79
clean (description),0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.04,0.03,0.055,0.10500000000000001,0.2,0.21,0.29,0.37,0.43,0.51,0.6,0.63,0.63,0.81,0.74,0.79
climb,,,,,,,,,0.03,0.04,0.06,0.11,0.14,0.17,0.28,0.33,0.41,0.5,0.51,0.54,0.73,0.63,0.7
clock,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.08,0.115,0.11499999999999999,0.165,0.29,0.31,0.34,0.37,0.46,0.5,0.59,0.6,0.6,0.8,0.66,0.71
close,0.0,0.01,0.01,0.02,0.01,0.02,0.03,0.06,0.065,0.075,0.11,0.15,0.2,0.23,0.32,0.4,0.48,0.56,0.56,0.6,0.8,0.71,0.77
closet,,,,,,,,,0.0,0.03,0.04,0.09,0.08,0.15,0.21,0.24,0.34,0.42,0.45,0.54,0.71,0.62,0.68
cloud,,,,,,,,,0.03,0.05,0.09,0.14,0.18,0.23,0.27,0.37,0.43,0.49,0.49,0.57,0.74,0.66,0.72
clown,,,,,,,,,0.01,0.04,0.06,0.08,0.1,0.13,0.12,0.14,0.21,0.29,0.3,0.34,0.62,0.35,0.44
coat,0.0,0.01,0.0,0.02,0.02,0.03,0.05,0.06,0.1,0.12,0.185,0.31,0.34,0.39,0.48,0.53,0.6,0.65,0.64,0.68,0.79,0.71,0.71
cockadoodledoo,0.01,0.01,0.02,0.02,0.01,0.04,0.03,0.08,0.125,0.125,0.16999999999999998,0.23,0.25,0.31,0.34,0.37,0.44,0.48,0.5,0.54,0.71,0.54,0.6
